# freq (s^-1)	PSD (strain^2 s)
8.725000e+01	4.915883e-24
8.750000e+01	4.924107e-24
8.775000e+01	4.932355e-24
8.800000e+01	4.940626e-24
8.825000e+01	4.948921e-24
8.850000e+01	4.957239e-24
8.875000e+01	4.965579e-24
8.900000e+01	4.973942e-24
8.925000e+01	4.982326e-24
8.950000e+01	4.990732e-24
8.975000e+01	4.999159e-24
9.000000e+01	5.007608e-24
9.025000e+01	5.016076e-24
9.050000e+01	5.024566e-24
9.075000e+01	5.033075e-24
9.100000e+01	5.041604e-24
9.125000e+01	5.050153e-24
9.150000e+01	5.058721e-24
9.175000e+01	5.067307e-24
9.200000e+01	5.075913e-24
9.225000e+01	5.084537e-24
9.250000e+01	5.093180e-24
9.275000e+01	5.101840e-24
9.300000e+01	5.110518e-24
9.325000e+01	5.119214e-24
9.350000e+01	5.127927e-24
9.375000e+01	5.136657e-24
9.400000e+01	5.145404e-24
9.425000e+01	5.154167e-24
9.450000e+01	5.162947e-24
9.475000e+01	5.171744e-24
9.500000e+01	5.180556e-24
9.525000e+01	5.189384e-24
9.550000e+01	5.198228e-24
9.575000e+01	5.207087e-24
9.600000e+01	5.215962e-24
9.625000e+01	5.224852e-24
9.650000e+01	5.233756e-24
9.675000e+01	5.242676e-24
9.700000e+01	5.251610e-24
9.725000e+01	5.260558e-24
9.750000e+01	5.269521e-24
9.775000e+01	5.278498e-24
9.800000e+01	5.287489e-24
9.825000e+01	5.296493e-24
9.850000e+01	5.305511e-24
9.875000e+01	5.314543e-24
9.900000e+01	5.323588e-24
9.925000e+01	5.332646e-24
9.950000e+01	5.341718e-24
9.975000e+01	5.350802e-24
1.000000e+02	5.359899e-24
1.002500e+02	5.369009e-24
1.005000e+02	5.378131e-24
1.007500e+02	5.387265e-24
1.010000e+02	5.396412e-24
1.012500e+02	5.405571e-24
1.015000e+02	5.414742e-24
1.017500e+02	5.423925e-24
1.020000e+02	5.433120e-24
1.022500e+02	5.442326e-24
1.025000e+02	5.451544e-24
1.027500e+02	5.460774e-24
1.030000e+02	5.470015e-24
1.032500e+02	5.479267e-24
1.035000e+02	5.488530e-24
1.037500e+02	5.497804e-24
1.040000e+02	5.507089e-24
1.042500e+02	5.516385e-24
1.045000e+02	5.525691e-24
1.047500e+02	5.535008e-24
1.050000e+02	5.544336e-24
1.052500e+02	5.553674e-24
1.055000e+02	5.563023e-24
1.057500e+02	5.572382e-24
1.060000e+02	5.581750e-24
1.062500e+02	5.591129e-24
1.065000e+02	5.600518e-24
1.067500e+02	5.609917e-24
1.070000e+02	5.619326e-24
1.072500e+02	5.628744e-24
1.075000e+02	5.638172e-24
1.077500e+02	5.647610e-24
1.080000e+02	5.657057e-24
1.082500e+02	5.666513e-24
1.085000e+02	5.675979e-24
1.087500e+02	5.685454e-24
1.090000e+02	5.694938e-24
1.092500e+02	5.704432e-24
1.095000e+02	5.713934e-24
1.097500e+02	5.723445e-24
1.100000e+02	5.732965e-24
1.102500e+02	5.742494e-24
1.105000e+02	5.752032e-24
1.107500e+02	5.761579e-24
1.110000e+02	5.771134e-24
1.112500e+02	5.780697e-24
1.115000e+02	5.790269e-24
1.117500e+02	5.799850e-24
1.120000e+02	5.809439e-24
1.122500e+02	5.819036e-24
1.125000e+02	5.828641e-24
1.127500e+02	5.838255e-24
1.130000e+02	5.847876e-24
1.132500e+02	5.857506e-24
1.135000e+02	5.867144e-24
1.137500e+02	5.876789e-24
1.140000e+02	5.886443e-24
1.142500e+02	5.896104e-24
1.145000e+02	5.905773e-24
1.147500e+02	5.915450e-24
1.150000e+02	5.925134e-24
1.152500e+02	5.934826e-24
1.155000e+02	5.944526e-24
1.157500e+02	5.954233e-24
1.160000e+02	5.963947e-24
1.162500e+02	5.973669e-24
1.165000e+02	5.983398e-24
1.167500e+02	5.993135e-24
1.170000e+02	6.002879e-24
1.172500e+02	6.012630e-24
1.175000e+02	6.022388e-24
1.177500e+02	6.032153e-24
1.180000e+02	6.041925e-24
1.182500e+02	6.051704e-24
1.185000e+02	6.061490e-24
1.187500e+02	6.071283e-24
1.190000e+02	6.081083e-24
1.192500e+02	6.090890e-24
1.195000e+02	6.100703e-24
1.197500e+02	6.110524e-24
1.200000e+02	6.120351e-24
1.202500e+02	6.130184e-24
1.205000e+02	6.140024e-24
1.207500e+02	6.149871e-24
1.210000e+02	6.159724e-24
1.212500e+02	6.169584e-24
1.215000e+02	6.179450e-24
1.217500e+02	6.189323e-24
1.220000e+02	6.199202e-24
1.222500e+02	6.209087e-24
1.225000e+02	6.218978e-24
1.227500e+02	6.228876e-24
1.230000e+02	6.238780e-24
1.232500e+02	6.248690e-24
1.235000e+02	6.258606e-24
1.237500e+02	6.268529e-24
1.240000e+02	6.278457e-24
1.242500e+02	6.288391e-24
1.245000e+02	6.298332e-24
1.247500e+02	6.308278e-24
1.250000e+02	6.318230e-24
1.252500e+02	6.328188e-24
1.255000e+02	6.338152e-24
1.257500e+02	6.348122e-24
1.260000e+02	6.358098e-24
1.262500e+02	6.368079e-24
1.265000e+02	6.378066e-24
1.267500e+02	6.388058e-24
1.270000e+02	6.398057e-24
1.272500e+02	6.408060e-24
1.275000e+02	6.418070e-24
1.277500e+02	6.428085e-24
1.280000e+02	6.438105e-24
1.282500e+02	6.448131e-24
1.285000e+02	6.458163e-24
1.287500e+02	6.468199e-24
1.290000e+02	6.478242e-24
1.292500e+02	6.488289e-24
1.295000e+02	6.498342e-24
1.297500e+02	6.508400e-24
1.300000e+02	6.518464e-24
1.302500e+02	6.528532e-24
1.305000e+02	6.538606e-24
1.307500e+02	6.548685e-24
1.310000e+02	6.558770e-24
1.312500e+02	6.568859e-24
1.315000e+02	6.578953e-24
1.317500e+02	6.589053e-24
1.320000e+02	6.599157e-24
1.322500e+02	6.609267e-24
1.325000e+02	6.619381e-24
1.327500e+02	6.629501e-24
1.330000e+02	6.639625e-24
1.332500e+02	6.649755e-24
1.335000e+02	6.659889e-24
1.337500e+02	6.670028e-24
1.340000e+02	6.680172e-24
1.342500e+02	6.690320e-24
1.345000e+02	6.700474e-24
1.347500e+02	6.710632e-24
1.350000e+02	6.720795e-24
1.352500e+02	6.730963e-24
1.355000e+02	6.741135e-24
1.357500e+02	6.751312e-24
1.360000e+02	6.761493e-24
1.362500e+02	6.771679e-24
1.365000e+02	6.781870e-24
1.367500e+02	6.792065e-24
1.370000e+02	6.802265e-24
1.372500e+02	6.812470e-24
1.375000e+02	6.822678e-24
1.377500e+02	6.832892e-24
1.380000e+02	6.843109e-24
1.382500e+02	6.853332e-24
1.385000e+02	6.863558e-24
1.387500e+02	6.873789e-24
1.390000e+02	6.884024e-24
1.392500e+02	6.894264e-24
1.395000e+02	6.904508e-24
1.397500e+02	6.914756e-24
1.400000e+02	6.925008e-24
1.402500e+02	6.935265e-24
1.405000e+02	6.945526e-24
1.407500e+02	6.955791e-24
1.410000e+02	6.966060e-24
1.412500e+02	6.976333e-24
1.415000e+02	6.986611e-24
1.417500e+02	6.996892e-24
1.420000e+02	7.007178e-24
1.422500e+02	7.017468e-24
1.425000e+02	7.027761e-24
1.427500e+02	7.038059e-24
1.430000e+02	7.048361e-24
1.432500e+02	7.058667e-24
1.435000e+02	7.068977e-24
1.437500e+02	7.079291e-24
1.440000e+02	7.089608e-24
1.442500e+02	7.099930e-24
1.445000e+02	7.110255e-24
1.447500e+02	7.120585e-24
1.450000e+02	7.130918e-24
1.452500e+02	7.141255e-24
1.455000e+02	7.151596e-24
1.457500e+02	7.161941e-24
1.460000e+02	7.172289e-24
1.462500e+02	7.182642e-24
1.465000e+02	7.192997e-24
1.467500e+02	7.203357e-24
1.470000e+02	7.213721e-24
1.472500e+02	7.224088e-24
1.475000e+02	7.234459e-24
1.477500e+02	7.244833e-24
1.480000e+02	7.255211e-24
1.482500e+02	7.265593e-24
1.485000e+02	7.275978e-24
1.487500e+02	7.286367e-24
1.490000e+02	7.296759e-24
1.492500e+02	7.307155e-24
1.495000e+02	7.317555e-24
1.497500e+02	7.327958e-24
1.500000e+02	7.338365e-24
1.502500e+02	7.348775e-24
1.505000e+02	7.359188e-24
1.507500e+02	7.369605e-24
1.510000e+02	7.380026e-24
1.512500e+02	7.390450e-24
1.515000e+02	7.400877e-24
1.517500e+02	7.411307e-24
1.520000e+02	7.421741e-24
1.522500e+02	7.432179e-24
1.525000e+02	7.442620e-24
1.527500e+02	7.453064e-24
1.530000e+02	7.463511e-24
1.532500e+02	7.473962e-24
1.535000e+02	7.484415e-24
1.537500e+02	7.494873e-24
1.540000e+02	7.505333e-24
1.542500e+02	7.515797e-24
1.545000e+02	7.526264e-24
1.547500e+02	7.536734e-24
1.550000e+02	7.547207e-24
1.552500e+02	7.557684e-24
1.555000e+02	7.568163e-24
1.557500e+02	7.578646e-24
1.560000e+02	7.589132e-24
1.562500e+02	7.599621e-24
1.565000e+02	7.610113e-24
1.567500e+02	7.620608e-24
1.570000e+02	7.631107e-24
1.572500e+02	7.641608e-24
1.575000e+02	7.652112e-24
1.577500e+02	7.662620e-24
1.580000e+02	7.673130e-24
1.582500e+02	7.683644e-24
1.585000e+02	7.694160e-24
1.587500e+02	7.704680e-24
1.590000e+02	7.715202e-24
1.592500e+02	7.725728e-24
1.595000e+02	7.736256e-24
1.597500e+02	7.746787e-24
1.600000e+02	7.757321e-24
1.602500e+02	7.767859e-24
1.605000e+02	7.778398e-24
1.607500e+02	7.788941e-24
1.610000e+02	7.799487e-24
1.612500e+02	7.810036e-24
1.615000e+02	7.820587e-24
1.617500e+02	7.831141e-24
1.620000e+02	7.841698e-24
1.622500e+02	7.852258e-24
1.625000e+02	7.862821e-24
1.627500e+02	7.873386e-24
1.630000e+02	7.883954e-24
1.632500e+02	7.894525e-24
1.635000e+02	7.905099e-24
1.637500e+02	7.915675e-24
1.640000e+02	7.926254e-24
1.642500e+02	7.936836e-24
1.645000e+02	7.947421e-24
1.647500e+02	7.958008e-24
1.650000e+02	7.968598e-24
1.652500e+02	7.979190e-24
1.655000e+02	7.989785e-24
1.657500e+02	8.000383e-24
1.660000e+02	8.010983e-24
1.662500e+02	8.021586e-24
1.665000e+02	8.032192e-24
1.667500e+02	8.042800e-24
1.670000e+02	8.053411e-24
1.672500e+02	8.064024e-24
1.675000e+02	8.074640e-24
1.677500e+02	8.085259e-24
1.680000e+02	8.095879e-24
1.682500e+02	8.106503e-24
1.685000e+02	8.117129e-24
1.687500e+02	8.127757e-24
1.690000e+02	8.138388e-24
1.692500e+02	8.149022e-24
1.695000e+02	8.159658e-24
1.697500e+02	8.170296e-24
1.700000e+02	8.180937e-24
1.702500e+02	8.191580e-24
1.705000e+02	8.202226e-24
1.707500e+02	8.212874e-24
1.710000e+02	8.223525e-24
1.712500e+02	8.234178e-24
1.715000e+02	8.244833e-24
1.717500e+02	8.255491e-24
1.720000e+02	8.266151e-24
1.722500e+02	8.276813e-24
1.725000e+02	8.287478e-24
1.727500e+02	8.298145e-24
1.730000e+02	8.308814e-24
1.732500e+02	8.319486e-24
1.735000e+02	8.330160e-24
1.737500e+02	8.340836e-24
1.740000e+02	8.351515e-24
1.742500e+02	8.362196e-24
1.745000e+02	8.372879e-24
1.747500e+02	8.383565e-24
1.750000e+02	8.394252e-24
1.752500e+02	8.404942e-24
1.755000e+02	8.415634e-24
1.757500e+02	8.426329e-24
1.760000e+02	8.437025e-24
1.762500e+02	8.447724e-24
1.765000e+02	8.458425e-24
1.767500e+02	8.469128e-24
1.770000e+02	8.479833e-24
1.772500e+02	8.490541e-24
1.775000e+02	8.501251e-24
1.777500e+02	8.511962e-24
1.780000e+02	8.522676e-24
1.782500e+02	8.533392e-24
1.785000e+02	8.544111e-24
1.787500e+02	8.554831e-24
1.790000e+02	8.565553e-24
1.792500e+02	8.576278e-24
1.795000e+02	8.587005e-24
1.797500e+02	8.597733e-24
1.800000e+02	8.608464e-24
1.802500e+02	8.619197e-24
1.805000e+02	8.629932e-24
