% Freq (Hz)	Omega_0(f)	2*sigma(f)
2.946875e+01	3.101425e-07	1.629716e-06
2.953125e+01	-8.888370e-07	1.664350e-06
2.956250e+01	-7.827432e-07	1.527898e-06
2.959375e+01	3.988879e-07	1.641222e-06
2.962500e+01	6.768829e-08	1.670720e-06
2.965625e+01	-4.984637e-07	1.563647e-06
2.968750e+01	-1.011434e-07	1.547188e-06
2.971875e+01	3.036278e-07	1.558293e-06
2.975000e+01	-2.330262e-07	1.528195e-06
2.978125e+01	3.082686e-07	1.818423e-06
2.981250e+01	-1.105664e-06	2.325483e-06
2.984375e+01	2.313895e-08	2.813249e-06
2.987500e+01	-1.902106e-06	3.359380e-06
2.990625e+01	-1.615901e-06	2.296275e-06
2.993750e+01	2.747691e-07	1.719667e-06
2.996875e+01	6.009926e-07	1.502084e-06
3.003125e+01	-1.059486e-06	1.526113e-06
3.006250e+01	-2.870429e-08	1.519277e-06
3.009375e+01	3.679651e-07	1.499159e-06
3.012500e+01	-7.000794e-07	1.479681e-06
3.015625e+01	1.656302e-07	1.465821e-06
3.018750e+01	3.953068e-07	1.442339e-06
3.021875e+01	1.223781e-06	1.511178e-06
3.025000e+01	-1.879069e-07	1.614077e-06
3.028125e+01	-5.337387e-07	1.478192e-06
3.031250e+01	-3.485912e-07	1.387637e-06
3.034375e+01	1.740252e-07	1.378742e-06
3.037500e+01	1.134185e-06	1.374588e-06
3.040625e+01	1.469664e-07	1.364641e-06
3.043750e+01	9.905305e-07	1.364220e-06
3.046875e+01	1.257730e-06	1.507544e-06
3.053125e+01	-7.697099e-09	1.525915e-06
3.056250e+01	2.362558e-07	1.431684e-06
3.059375e+01	-5.534422e-07	1.516837e-06
3.062500e+01	-8.767060e-07	1.472986e-06
3.065625e+01	-1.242032e-07	1.387000e-06
3.068750e+01	-3.157021e-07	1.372693e-06
3.071875e+01	8.854471e-07	1.367737e-06
3.075000e+01	4.656635e-07	1.368620e-06
3.078125e+01	-8.709947e-07	1.376674e-06
3.081250e+01	-3.981979e-07	1.388173e-06
3.084375e+01	5.338687e-07	1.383818e-06
3.087500e+01	2.996016e-07	1.379265e-06
3.090625e+01	-4.525260e-07	1.374627e-06
3.093750e+01	5.831465e-07	1.383183e-06
3.096875e+01	-5.884029e-07	1.395755e-06
3.100000e+01	4.015143e-09	1.424100e-06
3.103125e+01	3.456547e-07	1.443156e-06
3.106250e+01	2.549173e-07	1.461902e-06
3.109375e+01	5.837111e-07	1.546605e-06
3.112500e+01	1.570472e-07	1.703081e-06
3.115625e+01	-1.169892e-06	1.673374e-06
3.118750e+01	-1.505814e-06	1.595855e-06
3.121875e+01	-4.154774e-07	1.589423e-06
3.125000e+01	6.271989e-07	1.687654e-06
3.128125e+01	3.367604e-07	1.610587e-06
3.131250e+01	-1.427847e-06	1.580397e-06
3.134375e+01	5.522417e-08	1.620026e-06
3.137500e+01	-1.993568e-06	1.697467e-06
3.146875e+01	-6.336142e-07	1.761156e-06
3.153125e+01	-2.344046e-07	1.694991e-06
3.156250e+01	-5.075253e-07	1.594429e-06
3.159375e+01	-1.336133e-06	1.576432e-06
3.162500e+01	-4.741617e-07	1.463358e-06
3.165625e+01	-1.189456e-07	1.374860e-06
3.168750e+01	9.540550e-07	1.339679e-06
3.171875e+01	3.596041e-07	1.320852e-06
3.175000e+01	-4.603361e-07	1.326983e-06
3.178125e+01	7.927332e-07	1.304432e-06
3.181250e+01	-5.754450e-08	1.272649e-06
3.184375e+01	-4.134292e-08	1.260909e-06
3.187500e+01	-2.591234e-07	1.244415e-06
3.190625e+01	1.304999e-07	1.234702e-06
3.193750e+01	-6.913851e-07	1.231012e-06
3.196875e+01	-7.638606e-07	1.230271e-06
3.203125e+01	6.006763e-07	1.210851e-06
3.206250e+01	7.544342e-07	1.189670e-06
3.209375e+01	4.011013e-07	1.184390e-06
3.212500e+01	-7.387622e-08	1.176799e-06
3.215625e+01	3.115186e-07	1.168499e-06
3.218750e+01	1.865516e-06	1.167156e-06
3.221875e+01	-1.115306e-06	1.232823e-06
3.225000e+01	-6.559257e-07	1.334539e-06
3.228125e+01	9.098646e-07	1.224250e-06
3.231250e+01	6.648501e-07	1.149624e-06
3.234375e+01	1.571823e-07	1.153976e-06
3.237500e+01	-3.319275e-07	1.153342e-06
3.240625e+01	3.214284e-07	1.162695e-06
3.243750e+01	6.138602e-07	1.159187e-06
3.246875e+01	5.456726e-07	1.255888e-06
3.253125e+01	-3.859677e-07	1.299277e-06
3.256250e+01	6.438515e-07	1.244982e-06
3.259375e+01	-5.571611e-07	1.228817e-06
3.262500e+01	-3.956101e-08	1.163531e-06
3.265625e+01	1.306309e-07	1.131293e-06
3.268750e+01	-6.600965e-07	1.113787e-06
3.271875e+01	2.808422e-07	1.114317e-06
3.275000e+01	-5.220806e-07	1.113772e-06
3.278125e+01	-5.333415e-07	1.117151e-06
3.281250e+01	-2.692234e-07	1.115744e-06
3.284375e+01	-4.014862e-07	1.116368e-06
3.287500e+01	1.727535e-07	1.112904e-06
3.290625e+01	4.349799e-07	1.119186e-06
3.293750e+01	-1.102349e-07	1.134460e-06
3.296875e+01	-4.623259e-07	1.146108e-06
3.300000e+01	6.221286e-08	1.168315e-06
3.303125e+01	4.161115e-07	1.192564e-06
3.306250e+01	7.192094e-07	1.287729e-06
3.309375e+01	9.753856e-09	1.343022e-06
3.312500e+01	-7.912516e-07	1.291329e-06
3.315625e+01	3.670091e-07	1.245585e-06
3.318750e+01	-1.150093e-06	1.267074e-06
3.321875e+01	1.772636e-07	1.277286e-06
3.325000e+01	1.842194e-07	1.326959e-06
3.328125e+01	-5.388520e-07	1.193725e-06
3.331250e+01	4.099958e-07	1.184410e-06
3.334375e+01	4.477834e-07	1.202265e-06
3.337500e+01	-5.104381e-08	1.127625e-06
